1,1,56
1,2,52
1,13,33
1,18,60
1,21,66
1,27,96
1,28,66
1,37,92
1,39,89
1,47,35
1,48,78
1,52,44
1,52,63
1,53,25
1,53,71
1,68,1
1,70,59
1,76,67
1,81,43
1,84,93
1,85,25
1,85,54
1,90,79
1,94,36
1,97,17
1,97,61
1,100,99
1,101,40
1,103,52
1,113,16
1,114,84
1,115,85
1,126,69
1,126,80
1,132,93
1,136,14
1,139,81
1,143,26
1,144,68
1,146,52
1,149,78
1,152,95
1,153,86
1,158,83
1,161,34
1,162,56
1,168,25
1,180,86
1,182,30
1,183,20
1,187,90
1,190,48
1,191,5
1,191,32
1,191,55
1,193,86
1,195,75
1,198,93
1,202,10
1,205,58
1,207,52
1,212,14
1,221,4
1,232,86
1,234,61
1,236,75
1,241,97
1,243,26
1,251,58
2,252,96
2,253,25
2,254,17
2,255,17
2,256,69
2,256,93
2,260,8
2,264,50
2,266,84
2,268,76
2,269,88
2,270,88
2,272,43
2,272,65
2,272,87
2,277,8
2,277,53
2,283,52
2,283,92
2,286,52
2,287,39
2,289,56
2,291,94
2,292,10
2,292,80
2,293,76
2,297,62
2,299,76
